,년도_월,서울시_사망자_합계,서울시_확진자_합계,전국_사망자_합계,전국_확진자_합계
0,2020-02,0,0.0,0,0.0
1,2020-03,0,0.0,0,0.0
2,2020-04,0,7.0,0,82.0
3,2020-05,0,228.0,0,709.0
4,2020-06,0,451.0,0,1335.0
5,2020-07,0,288.0,0,1530.0
6,2020-08,0,2267.0,0,5642.0
7,2020-09,0,1424.0,0,3865.0
8,2020-10,0,719.0,0,2713.0
9,2020-11,0,2802.0,0,7769.0
10,2020-12,0,10209.0,0,26554.0
11,2021-01,0,5168.0,0,17500.0
12,2021-02,0,4083.0,0,11493.0
13,2021-03,0,3803.0,0,13430.0
14,2021-04,0,5811.0,0,18938.0
15,2021-05,0,6080.0,0,18343.0
16,2021-06,0,6075.0,0,16626.0
17,2021-07,0,14377.0,0,41401.0
18,2021-08,0,15019.0,0,53121.0
19,2021-09,0,21148.0,0,59899.0
20,2021-10,0,19123.0,0,53449.0
21,2021-11,0,34711.0,0,82566.0
22,2021-12,0,70977.0,0,183680.0
23,2022-01,0,52140.0,0,215009.0
24,2022-02,36,498842.0,0,2288947.0
25,2022-03,1158,1983383.0,5343,9962387.0
26,2022-04,1019,722562.0,6564,4143305.0
27,2022-05,239,135270.0,1382,860022.0
28,2022-06,64,49289.0,371,256037.0
29,2022-07,80,312023.0,500,1417511.0
30,2022-08,259,583610.0,1717,3472043.0
31,2022-09,258,270218.0,1642,1523764.0
32,2022-10,117,159869.0,771,789036.0
33,2022-11,205,306653.0,1332,1541960.0
34,2022-12,255,366337.0,1650,1961255.0
35,2023-01,197,201493.0,1293,1110809.0
36,2023-02,85,60021.0,538,338397.0
37,2023-03,43,74556.0,325,350168.0
38,2023-04,82,178710.0,430,708206.0
39,2023-05,131,243509.0,586,1019596.0
